model,lambda_ss,time,mean_front_distance
hub,0.2000,189,8.463156
hub,0.2000,190,8.463156
hub,0.2000,191,8.463156
hub,0.2000,192,8.463156
hub,0.2000,193,8.463156
hub,0.2000,194,8.463156
hub,0.2000,195,8.463156
hub,0.2000,196,8.463156
hub,0.2000,197,8.463156
hub,0.2000,198,8.463156
hub,0.2000,199,8.463156
hub,0.2000,200,8.463156
hub,0.4000,0,0.000000
hub,0.4000,1,0.920209
hub,0.4000,2,1.953936
hub,0.4000,3,3.080187
hub,0.4000,4,4.187106
hub,0.4000,5,5.275194
hub,0.4000,6,6.360810
hub,0.4000,7,7.430401
hub,0.4000,8,8.359673
hub,0.4000,9,8.988059
hub,0.4000,10,9.265565
hub,0.4000,11,9.344441
hub,0.4000,12,9.361378
hub,0.4000,13,9.365310
hub,0.4000,14,9.366570
hub,0.4000,15,9.367413
hub,0.4000,16,9.367413
hub,0.4000,17,9.367413
hub,0.4000,18,9.367413
hub,0.4000,19,9.367413
hub,0.4000,20,9.367413
hub,0.4000,21,9.367413
hub,0.4000,22,9.367413
hub,0.4000,23,9.367413
hub,0.4000,24,9.367413
hub,0.4000,25,9.367413
hub,0.4000,26,9.367413
hub,0.4000,27,9.367413
hub,0.4000,28,9.367413
hub,0.4000,29,9.367413
hub,0.4000,30,9.367413
hub,0.4000,31,9.367413
hub,0.4000,32,9.367413
hub,0.4000,33,9.367413
hub,0.4000,34,9.367413
hub,0.4000,35,9.367413
hub,0.4000,36,9.367413
hub,0.4000,37,9.367413
hub,0.4000,38,9.367413
hub,0.4000,39,9.367413
hub,0.4000,40,9.367413
hub,0.4000,41,9.367413
hub,0.4000,42,9.367413
hub,0.4000,43,9.367413
hub,0.4000,44,9.367413
hub,0.4000,45,9.367413
hub,0.4000,46,9.367413
hub,0.4000,47,9.367413
hub,0.4000,48,9.367413
hub,0.4000,49,9.367413
hub,0.4000,50,9.367413
hub,0.4000,51,9.367413
hub,0.4000,52,9.367413
hub,0.4000,53,9.367413
hub,0.4000,54,9.367413
hub,0.4000,55,9.367413
hub,0.4000,56,9.367413
hub,0.4000,57,9.367413
hub,0.4000,58,9.367413
hub,0.4000,59,9.367413
hub,0.4000,60,9.367413
hub,0.4000,61,9.367413
hub,0.4000,62,9.367413
hub,0.4000,63,9.367413
hub,0.4000,64,9.367413
hub,0.4000,65,9.367413
hub,0.4000,66,9.367413
hub,0.4000,67,9.367413
hub,0.4000,68,9.367413
hub,0.4000,69,9.367413
hub,0.4000,70,9.367413
hub,0.4000,71,9.367413
hub,0.4000,72,9.367413
hub,0.4000,73,9.367413
hub,0.4000,74,9.367413
hub,0.4000,75,9.367413
hub,0.4000,76,9.367413
hub,0.4000,77,9.367413
hub,0.4000,78,9.367413
hub,0.4000,79,9.367413
hub,0.4000,80,9.367413
hub,0.4000,81,9.367413
hub,0.4000,82,9.367413
hub,0.4000,83,9.367413
hub,0.4000,84,9.367413
hub,0.4000,85,9.367413
hub,0.4000,86,9.367413
hub,0.4000,87,9.367413
hub,0.4000,88,9.367413
hub,0.4000,89,9.367413
hub,0.4000,90,9.367413
hub,0.4000,91,9.367413
hub,0.4000,92,9.367413
hub,0.4000,93,9.367413
hub,0.4000,94,9.367413
hub,0.4000,95,9.367413
hub,0.4000,96,9.367413
hub,0.4000,97,9.367413
hub,0.4000,98,9.367413
hub,0.4000,99,9.367413
hub,0.4000,100,9.367413
hub,0.4000,101,9.367413
hub,0.4000,102,9.367413
hub,0.4000,103,9.367413
hub,0.4000,104,9.367413
hub,0.4000,105,9.367413
hub,0.4000,106,9.367413
hub,0.4000,107,9.367413
hub,0.4000,108,9.367413
hub,0.4000,109,9.367413
hub,0.4000,110,9.367413
hub,0.4000,111,9.367413
hub,0.4000,112,9.367413
hub,0.4000,113,9.367413
hub,0.4000,114,9.367413
hub,0.4000,115,9.367413
hub,0.4000,116,9.367413
hub,0.4000,117,9.367413
hub,0.4000,118,9.367413
hub,0.4000,119,9.367413
hub,0.4000,120,9.367413
hub,0.4000,121,9.367413
hub,0.4000,122,9.367413
hub,0.4000,123,9.367413
hub,0.4000,124,9.367413
hub,0.4000,125,9.367413
hub,0.4000,126,9.367413
hub,0.4000,127,9.367413
hub,0.4000,128,9.367413
hub,0.4000,129,9.367413
hub,0.4000,130,9.367413
hub,0.4000,131,9.367413
hub,0.4000,132,9.367413
hub,0.4000,133,9.367413
hub,0.4000,134,9.367413
hub,0.4000,135,9.367413
hub,0.4000,136,9.367413
hub,0.4000,137,9.367413
hub,0.4000,138,9.367413
hub,0.4000,139,9.367413
hub,0.4000,140,9.367413
hub,0.4000,141,9.367413
hub,0.4000,142,9.367413
hub,0.4000,143,9.367413
hub,0.4000,144,9.367413
hub,0.4000,145,9.367413
hub,0.4000,146,9.367413
hub,0.4000,147,9.367413
hub,0.4000,148,9.367413
hub,0.4000,149,9.367413
hub,0.4000,150,9.367413
hub,0.4000,151,9.367413
hub,0.4000,152,9.367413
hub,0.4000,153,9.367413
hub,0.4000,154,9.367413
hub,0.4000,155,9.367413
hub,0.4000,156,9.367413
hub,0.4000,157,9.367413
hub,0.4000,158,9.367413
hub,0.4000,159,9.367413
hub,0.4000,160,9.367413
hub,0.4000,161,9.367413
hub,0.4000,162,9.367413
hub,0.4000,163,9.367413
hub,0.4000,164,9.367413
hub,0.4000,165,9.367413
hub,0.4000,166,9.367413
hub,0.4000,167,9.367413
hub,0.4000,168,9.367413
hub,0.4000,169,9.367413
hub,0.4000,170,9.367413
hub,0.4000,171,9.367413
hub,0.4000,172,9.367413
hub,0.4000,173,9.367413
hub,0.4000,174,9.367413
hub,0.4000,175,9.367413
hub,0.4000,176,9.367413
hub,0.4000,177,9.367413
hub,0.4000,178,9.367413
hub,0.4000,179,9.367413
hub,0.4000,180,9.367413
hub,0.4000,181,9.367413
hub,0.4000,182,9.367413
hub,0.4000,183,9.367413
hub,0.4000,184,9.367413
hub,0.4000,185,9.367413
hub,0.4000,186,9.367413
hub,0.4000,187,9.367413
hub,0.4000,188,9.367413
hub,0.4000,189,9.367413
hub,0.4000,190,9.367413
hub,0.4000,191,9.367413
hub,0.4000,192,9.367413
hub,0.4000,193,9.367413
hub,0.4000,194,9.367413
hub,0.4000,195,9.367413
hub,0.4000,196,9.367413
hub,0.4000,197,9.367413
hub,0.4000,198,9.367413
hub,0.4000,199,9.367413
hub,0.4000,200,9.367413
hub,0.6000,0,0.000000
hub,0.6000,1,1.186010
hub,0.6000,2,2.500975
hub,0.6000,3,3.848421
hub,0.6000,4,5.154372
hub,0.6000,5,6.464117
hub,0.6000,6,7.787018
hub,0.6000,7,8.998023
hub,0.6000,8,9.795884
hub,0.6000,9,10.085434
hub,0.6000,10,10.138309
hub,0.6000,11,10.147662
hub,0.6000,12,10.149076
hub,0.6000,13,10.149076
hub,0.6000,14,10.149076
hub,0.6000,15,10.149076
hub,0.6000,16,10.149076
hub,0.6000,17,10.149076
hub,0.6000,18,10.149076
hub,0.6000,19,10.149076
hub,0.6000,20,10.149076
hub,0.6000,21,10.149076
hub,0.6000,22,10.149076
hub,0.6000,23,10.149076
hub,0.6000,24,10.149076
hub,0.6000,25,10.149076
hub,0.6000,26,10.149076
hub,0.6000,27,10.149076
hub,0.6000,28,10.149076
hub,0.6000,29,10.149076
hub,0.6000,30,10.149076
hub,0.6000,31,10.149076
hub,0.6000,32,10.149076
hub,0.6000,33,10.149076
hub,0.6000,34,10.149076
hub,0.6000,35,10.149076
hub,0.6000,36,10.149076
hub,0.6000,37,10.149076
hub,0.6000,38,10.149076
hub,0.6000,39,10.149076
hub,0.6000,40,10.149076
hub,0.6000,41,10.149076
hub,0.6000,42,10.149076
hub,0.6000,43,10.149076
hub,0.6000,44,10.149076
hub,0.6000,45,10.149076
hub,0.6000,46,10.149076
hub,0.6000,47,10.149076
hub,0.6000,48,10.149076
hub,0.6000,49,10.149076
hub,0.6000,50,10.149076
hub,0.6000,51,10.149076
hub,0.6000,52,10.149076
hub,0.6000,53,10.149076
hub,0.6000,54,10.149076
hub,0.6000,55,10.149076
hub,0.6000,56,10.149076
hub,0.6000,57,10.149076
hub,0.6000,58,10.149076
hub,0.6000,59,10.149076
hub,0.6000,60,10.149076
hub,0.6000,61,10.149076
hub,0.6000,62,10.149076
hub,0.6000,63,10.149076
hub,0.6000,64,10.149076
hub,0.6000,65,10.149076
hub,0.6000,66,10.149076
hub,0.6000,67,10.149076
hub,0.6000,68,10.149076
hub,0.6000,69,10.149076
hub,0.6000,70,10.149076
hub,0.6000,71,10.149076
hub,0.6000,72,10.149076
hub,0.6000,73,10.149076
hub,0.6000,74,10.149076
hub,0.6000,75,10.149076
hub,0.6000,76,10.149076
hub,0.6000,77,10.149076
hub,0.6000,78,10.149076
hub,0.6000,79,10.149076
hub,0.6000,80,10.149076
hub,0.6000,81,10.149076
hub,0.6000,82,10.149076
hub,0.6000,83,10.149076
hub,0.6000,84,10.149076
hub,0.6000,85,10.149076
hub,0.6000,86,10.149076
hub,0.6000,87,10.149076
hub,0.6000,88,10.149076
hub,0.6000,89,10.149076
hub,0.6000,90,10.149076
hub,0.6000,91,10.149076
hub,0.6000,92,10.149076
hub,0.6000,93,10.149076
hub,0.6000,94,10.149076
hub,0.6000,95,10.149076
hub,0.6000,96,10.149076
hub,0.6000,97,10.149076
hub,0.6000,98,10.149076
hub,0.6000,99,10.149076
hub,0.6000,100,10.149076
hub,0.6000,101,10.149076
hub,0.6000,102,10.149076
hub,0.6000,103,10.149076
hub,0.6000,104,10.149076
hub,0.6000,105,10.149076
hub,0.6000,106,10.149076
hub,0.6000,107,10.149076
hub,0.6000,108,10.149076
hub,0.6000,109,10.149076
hub,0.6000,110,10.149076
hub,0.6000,111,10.149076
hub,0.6000,112,10.149076
hub,0.6000,113,10.149076
hub,0.6000,114,10.149076
hub,0.6000,115,10.149076
hub,0.6000,116,10.149076
hub,0.6000,117,10.149076
hub,0.6000,118,10.149076
hub,0.6000,119,10.149076
hub,0.6000,120,10.149076
hub,0.6000,121,10.149076
hub,0.6000,122,10.149076
hub,0.6000,123,10.149076
hub,0.6000,124,10.149076
hub,0.6000,125,10.149076
hub,0.6000,126,10.149076
hub,0.6000,127,10.149076
hub,0.6000,128,10.149076
hub,0.6000,129,10.149076
hub,0.6000,130,10.149076
hub,0.6000,131,10.149076
hub,0.6000,132,10.149076
hub,0.6000,133,10.149076
hub,0.6000,134,10.149076
hub,0.6000,135,10.149076
hub,0.6000,136,10.149076
hub,0.6000,137,10.149076
hub,0.6000,138,10.149076
hub,0.6000,139,10.149076
hub,0.6000,140,10.149076
hub,0.6000,141,10.149076
hub,0.6000,142,10.149076
hub,0.6000,143,10.149076
hub,0.6000,144,10.149076
hub,0.6000,145,10.149076
hub,0.6000,146,10.149076
hub,0.6000,147,10.149076
hub,0.6000,148,10.149076
hub,0.6000,149,10.149076
hub,0.6000,150,10.149076
hub,0.6000,151,10.149076
hub,0.6000,152,10.149076
hub,0.6000,153,10.149076
hub,0.6000,154,10.149076
hub,0.6000,155,10.149076
hub,0.6000,156,10.149076
hub,0.6000,157,10.149076
hub,0.6000,158,10.149076
hub,0.6000,159,10.149076
hub,0.6000,160,10.149076
hub,0.6000,161,10.149076
hub,0.6000,162,10.149076
hub,0.6000,163,10.149076
hub,0.6000,164,10.149076
hub,0.6000,165,10.149076
hub,0.6000,166,10.149076
hub,0.6000,167,10.149076
hub,0.6000,168,10.149076
hub,0.6000,169,10.149076
hub,0.6000,170,10.149076
hub,0.6000,171,10.149076
hub,0.6000,172,10.149076
hub,0.6000,173,10.149076
hub,0.6000,174,10.149076
hub,0.6000,175,10.149076
hub,0.6000,176,10.149076
hub,0.6000,177,10.149076
hub,0.6000,178,10.149076
hub,0.6000,179,10.149076
hub,0.6000,180,10.149076
hub,0.6000,181,10.149076
hub,0.6000,182,10.149076
hub,0.6000,183,10.149076
hub,0.6000,184,10.149076
hub,0.6000,185,10.149076
hub,0.6000,186,10.149076
hub,0.6000,187,10.149076
hub,0.6000,188,10.149076
hub,0.6000,189,10.149076
hub,0.6000,190,10.149076
hub,0.6000,191,10.149076
hub,0.6000,192,10.149076
hub,0.6000,193,10.149076
hub,0.6000,194,10.149076
hub,0.6000,195,10.149076
hub,0.6000,196,10.149076
hub,0.6000,197,10.149076
hub,0.6000,198,10.149076
hub,0.6000,199,10.149076
hub,0.6000,200,10.149076
hub,0.8000,0,0.000000
hub,0.8000,1,1.482605
hub,0.8000,2,2.972128
hub,0.8000,3,4.484976
hub,0.8000,4,5.919003
hub,0.8000,5,7.371981
hub,0.8000,6,8.809759
hub,0.8000,7,9.995538
