model,lambda_ss,reproduction_factor,critical_R0,normalized_critical_density
hub,0.565000,0.637500000000,3.200000,5.019608
strong,0.570000,0.641666666667,4.500000,7.012987
hub,0.570000,0.641666666667,3.200000,4.987013
strong,0.575000,0.645833333333,4.500000,6.967742
hub,0.575000,0.645833333333,3.200000,4.954839
strong,0.580000,0.650000000000,4.500000,6.923077
hub,0.580000,0.650000000000,3.200000,4.923077
strong,0.585000,0.654166666667,4.500000,6.878981
hub,0.585000,0.654166666667,3.200000,4.891720
strong,0.590000,0.658333333333,4.500000,6.835443
hub,0.590000,0.658333333333,3.200000,4.860759
strong,0.595000,0.662500000000,4.500000,6.792453
hub,0.595000,0.662500000000,3.200000,4.830189
strong,0.600000,0.666666666667,4.500000,6.750000
hub,0.600000,0.666666666667,3.200000,4.800000
strong,0.605000,0.670833333333,4.500000,6.708075
hub,0.605000,0.670833333333,3.200000,4.770186
strong,0.610000,0.675000000000,4.500000,6.666667
hub,0.610000,0.675000000000,3.200000,4.740741
strong,0.615000,0.679166666667,4.500000,6.625767
hub,0.615000,0.679166666667,3.200000,4.711656
strong,0.620000,0.683333333333,4.500000,6.585366
hub,0.620000,0.683333333333,3.200000,4.682927
strong,0.625000,0.687500000000,4.500000,6.545455
hub,0.625000,0.687500000000,3.200000,4.654545
strong,0.630000,0.691666666667,4.500000,6.506024
hub,0.630000,0.691666666667,3.200000,4.626506
strong,0.635000,0.695833333333,4.500000,6.467066
hub,0.635000,0.695833333333,3.200000,4.598802
strong,0.640000,0.700000000000,4.500000,6.428571
hub,0.640000,0.700000000000,3.200000,4.571429
strong,0.645000,0.704166666667,4.500000,6.390533
hub,0.645000,0.704166666667,3.200000,4.544379
strong,0.650000,0.708333333333,4.500000,6.352941
hub,0.650000,0.708333333333,3.200000,4.517647
strong,0.655000,0.712500000000,4.500000,6.315789
hub,0.655000,0.712500000000,3.200000,4.491228
strong,0.660000,0.716666666667,4.500000,6.279070
hub,0.660000,0.716666666667,3.200000,4.465116
strong,0.665000,0.720833333333,4.500000,6.242775
hub,0.665000,0.720833333333,3.200000,4.439306
strong,0.670000,0.725000000000,4.500000,6.206897
hub,0.670000,0.725000000000,3.200000,4.413793
strong,0.675000,0.729166666667,4.500000,6.171429
hub,0.675000,0.729166666667,3.200000,4.388571
strong,0.680000,0.733333333333,4.500000,6.136364
hub,0.680000,0.733333333333,3.200000,4.363636
strong,0.685000,0.737500000000,4.500000,6.101695
hub,0.685000,0.737500000000,3.200000,4.338983
strong,0.690000,0.741666666667,4.500000,6.067416
hub,0.690000,0.741666666667,3.200000,4.314607
strong,0.695000,0.745833333333,4.500000,6.033520
hub,0.695000,0.745833333333,3.200000,4.290503
strong,0.700000,0.750000000000,4.500000,6.000000
hub,0.700000,0.750000000000,3.200000,4.266667
strong,0.705000,0.754166666667,4.500000,5.966851
hub,0.705000,0.754166666667,3.200000,4.243094
strong,0.710000,0.758333333333,4.500000,5.934066
hub,0.710000,0.758333333333,3.200000,4.219780
strong,0.715000,0.762500000000,4.500000,5.901639
hub,0.715000,0.762500000000,3.200000,4.196721
strong,0.720000,0.766666666667,4.500000,5.869565
hub,0.720000,0.766666666667,3.200000,4.173913
strong,0.725000,0.770833333333,4.500000,5.837838
hub,0.725000,0.770833333333,3.200000,4.151351
strong,0.730000,0.775000000000,4.500000,5.806452
hub,0.730000,0.775000000000,3.200000,4.129032
strong,0.735000,0.779166666667,4.500000,5.775401
hub,0.735000,0.779166666667,3.200000,4.106952
strong,0.740000,0.783333333333,4.500000,5.744681
hub,0.740000,0.783333333333,3.200000,4.085106
strong,0.745000,0.787500000000,4.500000,5.714286
hub,0.745000,0.787500000000,3.200000,4.063492
strong,0.750000,0.791666666667,4.500000,5.684211
hub,0.750000,0.791666666667,3.200000,4.042105
strong,0.755000,0.795833333333,4.500000,5.654450
hub,0.755000,0.795833333333,3.200000,4.020942
strong,0.760000,0.800000000000,4.500000,5.625000
hub,0.760000,0.800000000000,3.200000,4.000000
strong,0.765000,0.804166666667,4.500000,5.595855
hub,0.765000,0.804166666667,3.200000,3.979275
strong,0.770000,0.808333333333,4.500000,5.567010
hub,0.770000,0.808333333333,3.200000,3.958763
strong,0.775000,0.812500000000,4.500000,5.538462
hub,0.775000,0.812500000000,3.200000,3.938462
strong,0.780000,0.816666666667,4.500000,5.510204
hub,0.780000,0.816666666667,3.200000,3.918367
strong,0.785000,0.820833333333,4.500000,5.482234
hub,0.785000,0.820833333333,3.200000,3.898477
strong,0.790000,0.825000000000,4.500000,5.454545
hub,0.790000,0.825000000000,3.200000,3.878788
strong,0.795000,0.829166666667,4.500000,5.427136
hub,0.795000,0.829166666667,3.200000,3.859296
strong,0.800000,0.833333333333,4.500000,5.400000
hub,0.800000,0.833333333333,3.200000,3.840000
strong,0.805000,0.837500000000,4.500000,5.373134
hub,0.805000,0.837500000000,3.200000,3.820896
strong,0.810000,0.841666666667,4.500000,5.346535
hub,0.810000,0.841666666667,3.200000,3.801980
strong,0.815000,0.845833333333,4.500000,5.320197
hub,0.815000,0.845833333333,3.200000,3.783251
strong,0.820000,0.850000000000,4.500000,5.294118
hub,0.820000,0.850000000000,3.200000,3.764706
strong,0.825000,0.854166666667,4.500000,5.268293
hub,0.825000,0.854166666667,3.200000,3.746341
strong,0.830000,0.858333333333,4.500000,5.242718
hub,0.830000,0.858333333333,3.200000,3.728155
strong,0.835000,0.862500000000,4.500000,5.217391
hub,0.835000,0.862500000000,3.200000,3.710145
strong,0.840000,0.866666666667,4.500000,5.192308
hub,0.840000,0.866666666667,3.200000,3.692308
strong,0.845000,0.870833333333,4.500000,5.167464
hub,0.845000,0.870833333333,3.200000,3.674641
strong,0.850000,0.875000000000,4.500000,5.142857
hub,0.850000,0.875000000000,3.200000,3.657143
strong,0.855000,0.879166666667,4.500000,5.118483
hub,0.855000,0.879166666667,3.200000,3.639810
strong,0.860000,0.883333333333,4.500000,5.094340
hub,0.860000,0.883333333333,3.200000,3.622642
strong,0.865000,0.887500000000,4.500000,5.070423
hub,0.865000,0.887500000000,3.200000,3.605634
strong,0.870000,0.891666666667,4.500000,5.046729
hub,0.870000,0.891666666667,3.200000,3.588785
strong,0.875000,0.895833333333,4.500000,5.023256
