model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
strong,0.2000,77,0.000000,0.000000,247.600000
strong,0.2000,78,0.000000,0.000000,247.600000
strong,0.2000,79,0.000000,0.000000,247.600000
strong,0.2000,80,0.000000,0.000000,247.600000
strong,0.2000,81,0.000000,0.000000,247.600000
strong,0.2000,82,0.000000,0.000000,247.600000
strong,0.2000,83,0.000000,0.000000,247.600000
strong,0.2000,84,0.000000,0.000000,247.600000
strong,0.2000,85,0.000000,0.000000,247.600000
strong,0.2000,86,0.000000,0.000000,247.600000
strong,0.2000,87,0.000000,0.000000,247.600000
strong,0.2000,88,0.000000,0.000000,247.600000
strong,0.2000,89,0.000000,0.000000,247.600000
strong,0.2000,90,0.000000,0.000000,247.600000
strong,0.2000,91,0.000000,0.000000,247.600000
strong,0.2000,92,0.000000,0.000000,247.600000
strong,0.2000,93,0.000000,0.000000,247.600000
strong,0.2000,94,0.000000,0.000000,247.600000
strong,0.2000,95,0.000000,0.000000,247.600000
strong,0.2000,96,0.000000,0.000000,247.600000
strong,0.2000,97,0.000000,0.000000,247.600000
strong,0.2000,98,0.000000,0.000000,247.600000
strong,0.2000,99,0.000000,0.000000,247.600000
strong,0.2000,100,0.000000,0.000000,247.600000
strong,0.2000,101,0.000000,0.000000,247.600000
strong,0.2000,102,0.000000,0.000000,247.600000
strong,0.2000,103,0.000000,0.000000,247.600000
strong,0.2000,104,0.000000,0.000000,247.600000
strong,0.2000,105,0.000000,0.000000,247.600000
strong,0.2000,106,0.000000,0.000000,247.600000
strong,0.2000,107,0.000000,0.000000,247.600000
strong,0.2000,108,0.000000,0.000000,247.600000
strong,0.2000,109,0.000000,0.000000,247.600000
strong,0.2000,110,0.000000,0.000000,247.600000
strong,0.2000,111,0.000000,0.000000,247.600000
strong,0.2000,112,0.000000,0.000000,247.600000
strong,0.2000,113,0.000000,0.000000,247.600000
strong,0.2000,114,0.000000,0.000000,247.600000
strong,0.2000,115,0.000000,0.000000,247.600000
strong,0.2000,116,0.000000,0.000000,247.600000
strong,0.2000,117,0.000000,0.000000,247.600000
strong,0.2000,118,0.000000,0.000000,247.600000
strong,0.2000,119,0.000000,0.000000,247.600000
strong,0.2000,120,0.000000,0.000000,247.600000
strong,0.2000,121,0.000000,0.000000,247.600000
strong,0.2000,122,0.000000,0.000000,247.600000
strong,0.2000,123,0.000000,0.000000,247.600000
strong,0.2000,124,0.000000,0.000000,247.600000
strong,0.2000,125,0.000000,0.000000,247.600000
strong,0.2000,126,0.000000,0.000000,247.600000
strong,0.2000,127,0.000000,0.000000,247.600000
strong,0.2000,128,0.000000,0.000000,247.600000
strong,0.2000,129,0.000000,0.000000,247.600000
strong,0.2000,130,0.000000,0.000000,247.600000
strong,0.2000,131,0.000000,0.000000,247.600000
strong,0.2000,132,0.000000,0.000000,247.600000
strong,0.2000,133,0.000000,0.000000,247.600000
strong,0.2000,134,0.000000,0.000000,247.600000
strong,0.2000,135,0.000000,0.000000,247.600000
strong,0.2000,136,0.000000,0.000000,247.600000
strong,0.2000,137,0.000000,0.000000,247.600000
strong,0.2000,138,0.000000,0.000000,247.600000
strong,0.2000,139,0.000000,0.000000,247.600000
strong,0.2000,140,0.000000,0.000000,247.600000
strong,0.2000,141,0.000000,0.000000,247.600000
strong,0.2000,142,0.000000,0.000000,247.600000
strong,0.2000,143,0.000000,0.000000,247.600000
strong,0.2000,144,0.000000,0.000000,247.600000
strong,0.2000,145,0.000000,0.000000,247.600000
strong,0.2000,146,0.000000,0.000000,247.600000
strong,0.2000,147,0.000000,0.000000,247.600000
strong,0.2000,148,0.000000,0.000000,247.600000
strong,0.2000,149,0.000000,0.000000,247.600000
strong,0.2000,150,0.000000,0.000000,247.600000
