model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
normal,0.0000,17,2.965000,2.965000,64.920000
normal,0.0000,18,2.707000,2.707000,67.627000
normal,0.0000,19,2.539000,2.539000,70.166000
normal,0.0000,20,2.395000,2.395000,72.561000
normal,0.0000,21,2.162000,2.162000,74.723000
normal,0.0000,22,1.974000,1.974000,76.697000
normal,0.0000,23,1.754000,1.754000,78.451000
normal,0.0000,24,1.647000,1.647000,80.098000
normal,0.0000,25,1.509000,1.509000,81.607000
normal,0.0000,26,1.424000,1.424000,83.031000
normal,0.0000,27,1.340000,1.340000,84.371000
normal,0.0000,28,1.240000,1.240000,85.611000
normal,0.0000,29,1.050000,1.050000,86.661000
normal,0.0000,30,0.898000,0.898000,87.559000
normal,0.0000,31,0.839000,0.839000,88.398000
normal,0.0000,32,0.755000,0.755000,89.153000
normal,0.0000,33,0.728000,0.728000,89.881000
normal,0.0000,34,0.631000,0.631000,90.512000
normal,0.0000,35,0.568000,0.568000,91.080000
normal,0.0000,36,0.480000,0.480000,91.560000
normal,0.0000,37,0.434000,0.434000,91.994000
normal,0.0000,38,0.379000,0.379000,92.373000
normal,0.0000,39,0.356000,0.356000,92.729000
normal,0.0000,40,0.337000,0.337000,93.066000
normal,0.0000,41,0.282000,0.282000,93.348000
normal,0.0000,42,0.264000,0.264000,93.612000
normal,0.0000,43,0.233000,0.233000,93.845000
normal,0.0000,44,0.192000,0.192000,94.037000
normal,0.0000,45,0.173000,0.173000,94.210000
normal,0.0000,46,0.138000,0.138000,94.348000
normal,0.0000,47,0.107000,0.107000,94.455000
normal,0.0000,48,0.093000,0.093000,94.548000
normal,0.0000,49,0.083000,0.083000,94.631000
normal,0.0000,50,0.077000,0.077000,94.708000
normal,0.0000,51,0.055000,0.055000,94.763000
normal,0.0000,52,0.039000,0.039000,94.802000
normal,0.0000,53,0.037000,0.037000,94.839000
normal,0.0000,54,0.025000,0.025000,94.864000
normal,0.0000,55,0.018000,0.018000,94.882000
normal,0.0000,56,0.017000,0.017000,94.899000
normal,0.0000,57,0.016000,0.016000,94.915000
normal,0.0000,58,0.009000,0.009000,94.924000
normal,0.0000,59,0.010000,0.010000,94.934000
normal,0.0000,60,0.009000,0.009000,94.943000
normal,0.0000,61,0.012000,0.012000,94.955000
normal,0.0000,62,0.011000,0.011000,94.966000
normal,0.0000,63,0.006000,0.006000,94.972000
normal,0.0000,64,0.004000,0.004000,94.976000
normal,0.0000,65,0.001000,0.001000,94.977000
normal,0.0000,66,0.001000,0.001000,94.978000
normal,0.0000,67,0.001000,0.001000,94.979000
normal,0.0000,68,0.001000,0.001000,94.980000
normal,0.0000,69,0.000000,0.000000,94.980000
normal,0.0000,70,0.000000,0.000000,94.980000
normal,0.0000,71,0.000000,0.000000,94.980000
normal,0.0000,72,0.000000,0.000000,94.980000
normal,0.0000,73,0.000000,0.000000,94.980000
normal,0.0000,74,0.000000,0.000000,94.980000
normal,0.0000,75,0.000000,0.000000,94.980000
normal,0.0000,76,0.000000,0.000000,94.980000
normal,0.0000,77,0.000000,0.000000,94.980000
normal,0.0000,78,0.000000,0.000000,94.980000
normal,0.0000,79,0.000000,0.000000,94.980000
normal,0.0000,80,0.000000,0.000000,94.980000
normal,0.0000,81,0.000000,0.000000,94.980000
normal,0.0000,82,0.000000,0.000000,94.980000
normal,0.0000,83,0.000000,0.000000,94.980000
normal,0.0000,84,0.000000,0.000000,94.980000
normal,0.0000,85,0.000000,0.000000,94.980000
normal,0.0000,86,0.000000,0.000000,94.980000
normal,0.0000,87,0.000000,0.000000,94.980000
normal,0.0000,88,0.000000,0.000000,94.980000
normal,0.0000,89,0.000000,0.000000,94.980000
normal,0.0000,90,0.000000,0.000000,94.980000
normal,0.0000,91,0.000000,0.000000,94.980000
normal,0.0000,92,0.000000,0.000000,94.980000
normal,0.0000,93,0.000000,0.000000,94.980000
normal,0.0000,94,0.000000,0.000000,94.980000
normal,0.0000,95,0.000000,0.000000,94.980000
normal,0.0000,96,0.000000,0.000000,94.980000
normal,0.0000,97,0.000000,0.000000,94.980000
normal,0.0000,98,0.000000,0.000000,94.980000
normal,0.0000,99,0.000000,0.000000,94.980000
normal,0.0000,100,0.000000,0.000000,94.980000
normal,0.0000,101,0.000000,0.000000,94.980000
normal,0.0000,102,0.000000,0.000000,94.980000
normal,0.0000,103,0.000000,0.000000,94.980000
normal,0.0000,104,0.000000,0.000000,94.980000
normal,0.0000,105,0.000000,0.000000,94.980000
normal,0.0000,106,0.000000,0.000000,94.980000
normal,0.0000,107,0.000000,0.000000,94.980000
normal,0.0000,108,0.000000,0.000000,94.980000
normal,0.0000,109,0.000000,0.000000,94.980000
normal,0.0000,110,0.000000,0.000000,94.980000
normal,0.0000,111,0.000000,0.000000,94.980000
normal,0.0000,112,0.000000,0.000000,94.980000
normal,0.0000,113,0.000000,0.000000,94.980000
normal,0.0000,114,0.000000,0.000000,94.980000
normal,0.0000,115,0.000000,0.000000,94.980000
normal,0.0000,116,0.000000,0.000000,94.980000
normal,0.0000,117,0.000000,0.000000,94.980000
normal,0.0000,118,0.000000,0.000000,94.980000
normal,0.0000,119,0.000000,0.000000,94.980000
normal,0.0000,120,0.000000,0.000000,94.980000
normal,0.0000,121,0.000000,0.000000,94.980000
normal,0.0000,122,0.000000,0.000000,94.980000
normal,0.0000,123,0.000000,0.000000,94.980000
normal,0.0000,124,0.000000,0.000000,94.980000
normal,0.0000,125,0.000000,0.000000,94.980000
normal,0.0000,126,0.000000,0.000000,94.980000
normal,0.0000,127,0.000000,0.000000,94.980000
normal,0.0000,128,0.000000,0.000000,94.980000
normal,0.0000,129,0.000000,0.000000,94.980000
normal,0.0000,130,0.000000,0.000000,94.980000
normal,0.0000,131,0.000000,0.000000,94.980000
normal,0.0000,132,0.000000,0.000000,94.980000
normal,0.0000,133,0.000000,0.000000,94.980000
normal,0.0000,134,0.000000,0.000000,94.980000
normal,0.0000,135,0.000000,0.000000,94.980000
normal,0.0000,136,0.000000,0.000000,94.980000
normal,0.0000,137,0.000000,0.000000,94.980000
normal,0.0000,138,0.000000,0.000000,94.980000
normal,0.0000,139,0.000000,0.000000,94.980000
normal,0.0000,140,0.000000,0.000000,94.980000
normal,0.0000,141,0.000000,0.000000,94.980000
normal,0.0000,142,0.000000,0.000000,94.980000
normal,0.0000,143,0.000000,0.000000,94.980000
normal,0.0000,144,0.000000,0.000000,94.980000
normal,0.0000,145,0.000000,0.000000,94.980000
normal,0.0000,146,0.000000,0.000000,94.980000
normal,0.0000,147,0.000000,0.000000,94.980000
normal,0.0000,148,0.000000,0.000000,94.980000
normal,0.0000,149,0.000000,0.000000,94.980000
